Product_ID,SKU_Code,Product_Category,Sub_Category,Product_Name,Brand,Procurement_Cost_INR,Selling_Price_INR,Target_Profit_Margin_%,Unit_Weight_Kg,Packaging_Type,ABC_Class,XYZ_Class,Reorder_Level,EOQ,Average_Monthly_Demand,Lead_Time_Days,Storage_Zone,Temperature_Controlled,Hazardous_Material,Damage_Risk,Demand_Seasonality,GST_%
PR001,ELEC-001,Electronics,Smartphones,Samsung Galaxy Series,Samsung,8500,11999,29.2,0.25,Box,A,X,500,1500,1200,12,Dry Zone,No,No,Low,High,18
PR002,ELEC-002,Electronics,Laptops,Business Laptop,HP,52000,68999,24.6,2.1,Box,A,Y,120,350,280,18,Dry Zone,No,No,Low,Medium,18
PR003,GROC-001,Grocery,Packaged Foods,Instant Noodles,Nestlé,250,360,30.6,0.5,Carton,A,X,2500,6000,5000,5,Ambient,Yes,No,Medium,High,5
PR004,CLOT-001,Clothing,Apparel,Men's Shirts,Allen Solly,1200,1799,33.3,0.4,Polybag,B,Y,800,2000,1600,10,Dry Zone,No,No,Low,Medium,12
PR005,HEAL-001,Healthcare,OTC Medicines,Paracetamol,Cipla,650,899,27.7,0.15,Box,A,X,1800,4000,3500,3,Cold Chain,Yes,No,High,High,5
PR006,FURN-001,Furniture,Office Chair,Ergonomic Chair,Godrej,16000,22999,30.4,18.0,Wrapped,B,Z,80,250,180,25,Large Item,No,No,Medium,Low,18
PR007,AUTO-001,Automotive,Brake Pads,Brake Pad Kit,Bosch,6200,8999,31.1,3.5,Crate,A,Y,250,700,520,15,Industrial,No,No,Medium,Medium,18
PR008,ELEC-003,Electronics,Home Appliances,Microwave Oven,LG,14500,19999,27.5,8.0,Box,A,Y,140,400,300,12,Dry Zone,No,No,Low,Medium,18
PR009,GROC-002,Grocery,Beverages,Soft Drinks,Coca-Cola,180,260,30.8,1.0,Carton,A,X,3200,7000,6000,4,Ambient,Yes,No,Low,High,12
PR010,HEAL-002,Healthcare,Medical Devices,BP Monitor,Omron,4200,5999,30.0,1.2,Box,A,Y,220,600,450,10,Dry Zone,No,No,Low,Medium,12
PR011,CLOT-002,Clothing,Footwear,Running Shoes,Puma,2200,3199,31.2,0.8,Box,B,Y,450,1200,900,12,Dry Zone,No,No,Low,Medium,18
PR012,FURN-002,Furniture,Home Furniture,Dining Table,Nilkamal,24500,34999,30.0,30.0,Wrapped,C,Z,60,180,120,30,Large Item,No,No,Medium,Low,18
