Map_ID,Supplier_ID,Product_ID,Procurement_Cost_INR,Minimum_Order_Quantity,Lead_Time_Days,Preferred_Supplier,Contract_Start_Date,Contract_End_Date,Quality_Score
SPM001,SUP001,PR001,8200,100,7,Yes,2024-01-01,2025-12-31,4.9
SPM002,SUP013,PR001,8350,80,9,No,2024-01-01,2025-12-31,4.7
SPM003,SUP002,PR002,51000,40,10,Yes,2024-01-01,2025-12-31,4.8
SPM004,SUP019,PR002,51500,30,11,No,2024-01-01,2025-12-31,4.6
SPM005,SUP003,PR003,240,500,5,Yes,2024-01-01,2025-12-31,4.9
SPM006,SUP004,PR003,245,450,6,No,2024-01-01,2025-12-31,4.8
SPM007,SUP012,PR004,1100,250,8,Yes,2024-01-01,2025-12-31,4.8
SPM008,SUP011,PR004,1120,200,7,No,2024-01-01,2025-12-31,4.6
SPM009,SUP005,PR005,620,500,4,Yes,2024-01-01,2025-12-31,4.9
SPM010,SUP017,PR005,630,350,5,No,2024-01-01,2025-12-31,4.8
SPM011,SUP007,PR006,15500,25,12,Yes,2024-01-01,2025-12-31,4.7
SPM012,SUP008,PR006,15700,20,11,No,2024-01-01,2025-12-31,4.5
SPM013,SUP009,PR007,6000,120,8,Yes,2024-01-01,2025-12-31,4.8
SPM014,SUP001,PR008,14000,40,7,Yes,2024-01-01,2025-12-31,4.8
SPM015,SUP013,PR008,14200,35,8,No,2024-01-01,2025-12-31,4.7
SPM016,SUP015,PR009,170,700,4,Yes,2024-01-01,2025-12-31,4.8
SPM017,SUP018,PR009,175,650,5,No,2024-01-01,2025-12-31,4.7
SPM018,SUP017,PR010,4000,90,10,Yes,2024-01-01,2025-12-31,4.9
SPM019,SUP011,PR011,2100,180,7,Yes,2024-01-01,2025-12-31,4.7
SPM020,SUP008,PR012,23800,15,30,Yes,2024-01-01,2025-12-31,4.6
